--- START ---
[Block #260] X:700 | Y:300 | Entropy: 3.86 bits/pixel
[Block #261] X:750 | Y:300 | Entropy: 2.94 bits/pixel
[Block #262] X:800 | Y:300 | Entropy: 3.83 bits/pixel
[Block #263] X:850 | Y:300 | Entropy: 2.22 bits/pixel
[Block #264] X:900 | Y:300 | Entropy: 2.87 bits/pixel
[Block #265] X:950 | Y:300 | Entropy: 2.99 bits/pixel
[Block #266] X:1000 | Y:300 | Entropy: 2.51 bits/pixel
[Block #267] X:1050 | Y:300 | Entropy: 2.5 bits/pixel
[Block #268] X:1100 | Y:300 | Entropy: 2.80 bits/pixel
[Block #269] X:1150 | Y:300 | Entropy: 2.38 bits/pixel
[Block #270] X:1200 | Y:300 | Entropy: 3.14 bits/pixel
[Block #271] X:1250 | Y:300 | Entropy: 3.5 bits/pixel
[Block #272] X:1300 | Y:300 | Entropy: 2.69 bits/pixel
[Block #273] X:1350 | Y:300 | Entropy: 2.88 bits/pixel
[Block #274] X:1400 | Y:300 | Entropy: 3.9 bits/pixel
[Block #275] X:1450 | Y:300 | Entropy: 2.63 bits/pixel
[Block #276] X:1500 | Y:300 | Entropy: 3.16 bits/pixel
[Block #277] X:1550 | Y:300 | Entropy: 2.61 bits/pixel
[Block #278] X:1600 | Y:300 | Entropy: 3.15 bits/pixel
[Block #279] X:1650 | Y:300 | Entropy: 3.9 bits/pixel
[Block #280] X:1700 | Y:300 | Entropy: 3.91 bits/pixel
[Block #281] X:1750 | Y:300 | Entropy: 3.73 bits/pixel
[Block #282] X:1800 | Y:300 | Entropy: 4.1 bits/pixel
[Block #283] X:1850 | Y:300 | Entropy: 3.32 bits/pixel
[Block #284] X:1900 | Y:300 | Entropy: 3.26 bits/pixel
[Block #285] X:1950 | Y:300 | Entropy: 3.43 bits/pixel
[Block #287] X:0 | Y:350 | Entropy: 6.20 bits/pixel
[Block #288] X:50 | Y:350 | Entropy: 5.45 bits/pixel
[Block #289] X:100 | Y:350 | Entropy: 7.10 bits/pixel
[Block #290] X:150 | Y:350 | Entropy: 6.66 bits/pixel
[Block #291] X:200 | Y:350 | Entropy: 6.59 bits/pixel
[Block #292] X:250 | Y:350 | Entropy: 5.90 bits/pixel
[Block #293] X:300 | Y:350 | Entropy: 3.73 bits/pixel
[Block #296] X:450 | Y:350 | Entropy: 4.51 bits/pixel
[Block #297] X:500 | Y:350 | Entropy: 5.16 bits/pixel
[Block #298] X:550 | Y:350 | Entropy: 4.56 bits/pixel
[Block #299] X:600 | Y:350 | Entropy: 4.63 bits/pixel
[Block #300] X:650 | Y:350 | Entropy: 5.31 bits/pixel
[Block #301] X:700 | Y:350 | Entropy: 3.63 bits/pixel
[Block #302] X:750 | Y:350 | Entropy: 2.97 bits/pixel
[Block #303] X:800 | Y:350 | Entropy: 4.68 bits/pixel
[Block #306] X:950 | Y:350 | Entropy: 2.5 bits/pixel
[Block #307] X:1000 | Y:350 | Entropy: 2.34 bits/pixel
[Block #308] X:1050 | Y:350 | Entropy: 2.33 bits/pixel
[Block #309] X:1100 | Y:350 | Entropy: 2.73 bits/pixel
[Block #310] X:1150 | Y:350 | Entropy: 2.60 bits/pixel
[Block #311] X:1200 | Y:350 | Entropy: 3.6 bits/pixel
[Block #312] X:1250 | Y:350 | Entropy: 2.85 bits/pixel
[Block #315] X:1400 | Y:350 | Entropy: 2.95 bits/pixel
[Block #316] X:1450 | Y:350 | Entropy: 3.18 bits/pixel
[Block #317] X:1500 | Y:350 | Entropy: 3.62 bits/pixel
[Block #318] X:1550 | Y:350 | Entropy: 3.43 bits/pixel
[Block #319] X:1600 | Y:350 | Entropy: 2.77 bits/pixel
[Block #320] X:1650 | Y:350 | Entropy: 3.23 bits/pixel
[Block #321] X:1700 | Y:350 | Entropy: 3.17 bits/pixel
[Block #322] X:1750 | Y:350 | Entropy: 3.44 bits/pixel
[Block #325] X:1900 | Y:350 | Entropy: 3.15 bits/pixel
[Block #326] X:1950 | Y:350 | Entropy: 2.83 bits/pixel
[Block #327] X:2000 | Y:350 | Entropy: 3.65 bits/pixel
[Block #328] X:0 | Y:400 | Entropy: 6.15 bits/pixel
[Block #329] X:50 | Y:400 | Entropy: 4.56 bits/pixel
[Block #330] X:100 | Y:400 | Entropy: 5.85 bits/pixel
[Block #331] X:150 | Y:400 | Entropy: 5.57 bits/pixel
[Block #332] X:200 | Y:400 | Entropy: 4.90 bits/pixel
[Block #333] X:250 | Y:400 | Entropy: 5.30 bits/pixel
[Block #334] X:300 | Y:400 | Entropy: 4.54 bits/pixel
[Block #337] X:450 | Y:400 | Entropy: 5.0 bits/pixel
[Block #338] X:500 | Y:400 | Entropy: 4.55 bits/pixel
[Block #339] X:550 | Y:400 | Entropy: 4.66 bits/pixel
[Block #340] X:600 | Y:400 | Entropy: 4.17 bits/pixel
[Block #341] X:650 | Y:400 | Entropy: 5.98 bits/pixel
[Block #342] X:700 | Y:400 | Entropy: 3.91 bits/pixel
[Block #343] X:750 | Y:400 | Entropy: 3.13 bits/pixel
[Block #346] X:900 | Y:400 | Entropy: 3.30 bits/pixel
[Block #347] X:950 | Y:400 | Entropy: 2.30 bits/pixel
[Block #348] X:1000 | Y:400 | Entropy: 3.27 bits/pixel
[Block #349] X:1050 | Y:400 | Entropy: 3.0 bits/pixel
[Block #350] X:1100 | Y:400 | Entropy: 2.94 bits/pixel
[Block #351] X:1150 | Y:400 | Entropy: 2.44 bits/pixel
[Block #352] X:1200 | Y:400 | Entropy: 2.74 bits/pixel
[Block #353] X:1250 | Y:400 | Entropy: 3.20 bits/pixel
[Block #361] X:1650 | Y:400 | Entropy: 2.51 bits/pixel
[Block #362] X:1700 | Y:400 | Entropy: 3.14 bits/pixel
[Block #363] X:1750 | Y:400 | Entropy: 3.22 bits/pixel
[Block #364] X:1800 | Y:400 | Entropy: 3.40 bits/pixel
[Block #365] X:1850 | Y:400 | Entropy: 3.30 bits/pixel
[Block #366] X:1900 | Y:400 | Entropy: 3.38 bits/pixel
[Block #367] X:1950 | Y:400 | Entropy: 3.4 bits/pixel
[Block #374] X:250 | Y:450 | Entropy: 6.24 bits/pixel
[Block #375] X:300 | Y:450 | Entropy: 5.80 bits/pixel
[Block #376] X:350 | Y:450 | Entropy: 4.39 bits/pixel
[Block #377] X:400 | Y:450 | Entropy: 6.72 bits/pixel
[Block #378] X:450 | Y:450 | Entropy: 5.10 bits/pixel
[Block #379] X:500 | Y:450 | Entropy: 3.57 bits/pixel
[Block #380] X:550 | Y:450 | Entropy: 4.50 bits/pixel
[Block #381] X:600 | Y:450 | Entropy: 4.67 bits/pixel
[Block #388] X:950 | Y:450 | Entropy: 2.54 bits/pixel
[Block #389] X:1000 | Y:450 | Entropy: 2.63 bits/pixel
[Block #390] X:1050 | Y:450 | Entropy: 2.81 bits/pixel
[Block #391] X:1100 | Y:450 | Entropy: 2.78 bits/pixel
[Block #392] X:1150 | Y:450 | Entropy: 2.97 bits/pixel
[Block #393] X:1200 | Y:450 | Entropy: 3.41 bits/pixel
[Block #394] X:1250 | Y:450 | Entropy: 3.53 bits/pixel
[Block #400] X:1550 | Y:450 | Entropy: 3.1 bits/pixel
[Block #401] X:1600 | Y:450 | Entropy: 3.29 bits/pixel
[Block #402] X:1650 | Y:450 | Entropy: 2.94 bits/pixel
[Block #403] X:1700 | Y:450 | Entropy: 3.14 bits/pixel
[Block #404] X:1750 | Y:450 | Entropy: 3.58 bits/pixel
